Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,
DFS,Discover Financial Services,reports,Financials,Consumer Finance,Riverwoods, Illinois,2007-07-02,0001393612,/wiki/Discover_Financial
DISCA,Discovery Communications-A,reports,Consumer Discretionary,Broadcasting & Cable TV,Silver Spring, Maryland,2010-03-01,0001437107,/wiki/Discovery_Communications-A
DISCK,Discovery Communications-C,reports,Consumer Discretionary,Broadcasting & Cable TV,Silver Spring, Maryland,2014-08-07,0001437107,/wiki/Discovery_Communications-C
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,Goodlettsville, Tennessee,2012-12-03,0000029534,/wiki/Dollar_General
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,Chesapeake, Virginia,2011-12-19,0000935703,/wiki/Dollar_Tree
D,Dominion Resources,reports,Utilities,Electric Utilities,Richmond, Virginia,,0000715957,/wiki/Dominion_Resources
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,Downers Grove, Illinois,1985-10-31,0000029905,/wiki/Dover_Corp.
DOW,Dow Chemical,reports,Materials,Diversified Chemicals,Midland, Michigan,,0000029915,/wiki/Dow_Chemical
DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,Plano, Texas,2008-10-07,0001418135,/wiki/Dr_Pepper_Snapple_Group
DTE,DTE Energy Co.,reports,Utilities,MultiUtilities,Detroit, Michigan,,0000936340,/wiki/DTE_Energy_Co.
DD,Du Pont (E.I.),reports,Materials,Diversified Chemicals,Wilmington, Delaware,,0000030554,/wiki/Du_Pont_(E.I.)
DUK,Duke Energy,reports,Utilities,Electric Utilities,Charlotte, North Carolina,1976-06-30,0001326160,/wiki/Duke_Energy
DNB,Dun & Bradstreet,reports,Industrials,Data Processing Services,Short Hills, New Jersey,2008-12-02,0001115222,/wiki/Dun_%26_Bradstreet
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,New York, New York,,0001015780,/wiki/E*Trade
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,Kingsport, Tennessee,1994-01-01,0000915389,/wiki/Eastman_Chemical
ETN,Eaton Corporation,reports,Industrials,Industrial Conglomerates,Dublin, Ireland,,0001551182,/wiki/Eaton_Corporation
EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,San Jose, California,,0001065088,/wiki/EBay_Inc.
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,St. Paul, Minnesota,1989-01-31,0000031462,/wiki/Ecolab_Inc.
EIX,Edison Int'l,reports,Utilities,Electric Utilities,Rosemead, California,,0000827052,/wiki/Edison_Int%27l
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment & Services,Irvine, California,2011-04-01,0001099800,/wiki/Edwards_Lifesciences
EA,Electronic Arts,reports,Information Technology,Home Entertainment Software,Redwood City, California,,0000712515,/wiki/Electronic_Arts
EMC,EMC Corp.,reports,Information Technology,IT Consulting & Services,Hopkinton, Massachusetts,,0000790070,/wiki/EMC_Corp.
EMR,Emerson Electric Company,reports,Industrials,Industrial Conglomerates,Ferguson, Missouri,1965-03-31,0000032604,/wiki/Emerson_Electric_Company
ENDP,Endo International,reports,Health Care,Pharmaceuticals,Dublin, Ireland,2015-01-27,0001100962,/wiki/Endo_International
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,New Orleans, Louisiana,,0000065984,/wiki/Entergy_Corp.
